77.30,77817.00,2171.81,1.70,-4.43,0.67,324.77,39.33,175.94,-7.14,2.71,-6.90,0.98,0.42,-0.49
77.30,77817.00,2171.81,2.25,-5.85,0.75,324.56,44.17,156.75,-7.30,2.79,-6.98,2.38,2.03,-0.14
77.26,77815.00,2172.02,2.28,-5.92,0.79,324.55,44.21,157.44,-7.65,2.90,-6.94,5.25,3.92,3.92
77.26,77820.00,2171.51,2.31,-6.00,0.77,324.64,44.22,157.74,-7.65,2.82,-6.79,0.70,3.50,-2.24
77.26,77813.00,2172.23,2.34,-6.07,0.78,324.70,44.05,158.19,-7.45,3.06,-6.83,1.68,0.49,1.33
77.25,77818.00,2171.71,2.36,-6.15,0.79,324.65,43.84,158.59,-7.49,2.90,-6.79,1.89,0.42,0.98
77.27,77820.00,2171.51,2.39,-6.22,0.80,324.65,43.40,158.79,-7.53,2.90,-6.83,-0.35,-2.10,1.05
77.25,77816.00,2171.92,2.42,-6.30,0.82,324.68,42.86,158.96,-7.41,2.90,-6.83,-0.56,-3.36,2.10
77.27,77819.00,2171.61,2.45,-6.38,0.87,324.65,42.45,159.85,-7.81,3.06,-6.79,4.83,0.70,4.27
77.26,77818.00,2171.71,2.48,-6.46,0.84,324.69,41.82,160.39,-8.00,3.10,-6.63,-1.05,0.98,-2.17
77.26,77820.00,2171.51,2.52,-6.54,0.85,324.67,40.97,161.82,-8.51,3.37,-6.43,2.24,2.73,0.77
77.25,77826.00,2170.89,2.55,-6.63,0.83,324.64,40.45,162.95,-8.39,3.26,-6.47,2.59,2.87,-1.75
77.25,77820.00,2171.51,2.58,-6.71,0.85,324.60,40.64,162.85,-7.96,3.18,-6.63,-1.19,-2.38,1.89
77.29,77814.00,2172.12,2.62,-6.79,0.88,324.60,41.69,161.95,-8.12,3.37,-6.55,-0.35,-4.69,2.24
77.27,77816.00,2171.92,2.65,-6.86,0.89,324.60,44.71,157.89,-7.81,3.02,-6.75,-1.68,-5.25,1.40
77.22,77812.00,2172.33,2.68,-6.94,0.90,324.59,48.46,153.02,-7.53,2.98,-6.79,-0.63,-5.18,1.05
77.21,77812.00,2172.33,2.71,-7.02,0.93,324.59,50.97,149.65,-7.73,2.90,-6.71,-1.05,-4.06,3.01
77.25,77813.00,2172.23,2.73,-7.09,0.94,324.59,51.60,148.98,-7.53,2.90,-6.83,-1.89,-3.99,0.77
77.25,77809.00,2172.64,2.76,-7.17,0.96,324.60,50.52,150.64,-7.34,2.90,-6.90,0.21,-3.99,2.45
77.25,77809.00,2172.64,2.79,-7.24,0.98,324.59,48.31,153.19,-7.26,2.98,-6.86,-1.54,-4.97,2.17
77.25,77806.00,2172.95,2.82,-7.31,0.99,324.63,45.76,156.15,-7.41,2.94,-6.86,-1.33,-3.36,0.91
77.25,77817.00,2171.81,2.85,-7.38,1.03,324.59,42.76,159.16,-7.22,2.98,-7.02,-1.61,-6.86,3.85
77.25,77817.00,2171.81,2.88,-7.45,1.09,324.55,38.87,161.85,-6.83,2.71,-6.83,-3.78,-14.70,6.30
77.25,77820.00,2171.51,2.91,-7.52,1.12,324.55,34.56,164.25,-7.14,2.75,-6.83,-7.70,-13.79,2.45
77.22,77817.00,2171.81,2.93,-7.59,1.17,324.56,31.64,166.16,-6.47,2.63,-7.22,-4.97,-14.28,5.25
77.27,77820.00,2171.51,2.96,-7.66,1.20,324.55,29.73,166.40,-6.79,2.31,-7.26,-5.74,-10.29,2.52
77.26,77825.00,2170.99,2.99,-7.73,1.21,324.55,32.84,166.96,-6.90,2.86,-6.71,-5.11,-5.88,1.54
77.25,77824.00,2171.09,3.01,-7.79,1.23,324.58,43.73,161.12,-6.83,2.75,-7.06,0.42,-6.65,1.75
77.26,77818.00,2171.71,3.04,-7.86,1.25,324.55,52.00,153.34,-6.51,2.55,-7.45,-6.37,-7.28,1.82
77.25,77813.00,2172.23,3.07,-7.93,1.26,324.63,50.86,151.91,-6.67,2.75,-6.75,-5.46,-8.54,1.12
77.25,77817.00,2171.81,3.09,-7.99,1.29,324.65,44.73,154.93,-6.75,2.67,-6.94,1.89,-5.81,2.73
77.25,77817.00,2171.81,3.12,-8.06,1.27,324.65,35.72,160.08,-6.67,2.35,-7.26,-2.03,-2.24,-1.19
77.20,77815.00,2172.02,3.14,-8.13,1.28,324.66,25.01,172.68,-6.63,2.63,-7.06,-1.26,-4.06,0.56
77.25,77822.00,2171.30,3.17,-8.20,1.28,324.69,36.96,168.39,-7.06,2.55,-7.06,0.07,0.35,0.35
77.22,77827.00,2170.78,3.19,-8.27,1.27,324.72,68.24,138.48,-7.06,2.51,-6.90,-3.78,-2.31,-0.98
77.26,77823.00,2171.20,3.22,-8.34,1.30,324.73,240.06,84.29,-7.06,2.82,-6.98,1.33,-1.68,2.52
77.26,77819.00,2171.61,3.25,-8.41,1.29,324.78,42.74,165.89,-7.22,2.55,-7.02,1.68,0.63,-0.91
